| Category   | Item                                       |     Quantity | Recommended specification                          | Priority               | Notes                                                   |
| ---------- | ------------------------------------------ | -----------: | -------------------------------------------------- | ---------------------- | ------------------------------------------------------- |
| Computing  | Raspberry Pi 4                             |            1 | 4 GB RAM model                                     | Required               | Handles camera, web interface, AI, navigation and audio |
| Computing  | ESP32 development board                    |            1 | ESP32-WROOM-32 DevKit                              | Required               | Handles motors, sensors, LEDs and real-time control     |
| Computing  | MicroSD card                               |            1 | 32 or 64 GB, A1 or A2                              | Required               | Raspberry Pi operating system and software              |
| Computing  | USB cable                                  |            1 | Compatible with the ESP32 connector                | Required               | Communication between Raspberry Pi and ESP32            |
| Cooling    | Raspberry Pi heatsink kit                  |            1 | Compatible with Raspberry Pi 4                     | Recommended            | Helps control temperature                               |
| Cooling    | Cooling fan                                |            1 | 30 mm or 40 mm                                     | Recommended            | Match the chassis mounting area                         |
| Motion     | DC geared motors                           |            4 | Preferably with built-in encoders                  | Required               | Check voltage, current, shaft size and dimensions       |
| Motion     | Wheels                                     |            4 | Compatible with motor shafts                       | Required               | Choose suitable diameter and grip                       |
| Motion     | TB6612FNG motor drivers                    |            2 | Dual-channel motor driver boards                   | Required               | One board controls two motors                           |
| Motion     | Motor brackets                             |            4 | Metal or 3D-printed                                | Required               | Must match the exact motors                             |
| Motion     | Motor mounting hardware                    |        1 set | Screws, washers and nuts                           | Required               | Size depends on the motor brackets                      |
| Power      | Protected battery pack                     |            1 | Pre-assembled pack with protection/BMS             | Required               | Do not build a lithium pack from loose cells            |
| Power      | Battery charger                            |            1 | Exact match for battery chemistry and voltage      | Required               | Must be compatible with the selected battery            |
| Power      | Raspberry Pi DC-DC converter               |            1 | Stable 5 V output, at least 3 A                    | Required               | Powers the Raspberry Pi safely                          |
| Power      | Motor DC-DC converter                      |            1 | Only if motor voltage differs from battery voltage | Conditional            | Choose after selecting motors and battery               |
| Power      | Main power switch                          |            1 | Rated for the robot’s maximum current              | Required               | Must be easily accessible                               |
| Power      | Emergency-stop button                      |            1 | Latching type                                      | Strongly recommended   | Should immediately disable motor power                  |
| Power      | Fuse holder                                |            1 | Inline or panel-mounted                            | Required               | Place close to the battery                              |
| Power      | Fuses                                      |      Several | Value selected after motor current is known        | Required               | Keep spare fuses                                        |
| Power      | Power distribution board or terminal block |            1 | Rated for total current                            | Required               | Distributes battery power safely                        |
| Power      | Battery connectors                         |       1 pair | Polarized, locking connectors                      | Required               | Prevents reversed connections                           |
| Power      | Battery monitoring sensor                  |            1 | INA219 or INA226                                   | Recommended            | Measures voltage and current                            |
| Sensors    | Ultrasonic distance sensors                |            3 | HC-SR04 or 3.3 V-compatible equivalent             | Required               | Front, left and right                                   |
| Sensors    | Logic-level converter                      |            1 | At least 3 channels                                | Required with HC-SR04  | Protects ESP32 inputs from 5 V Echo signals             |
| Sensors    | Light sensor                               |            1 | BH1750                                             | Required               | Measures ambient light                                  |
| Sensors    | IMU                                        |            1 | MPU6050, BNO055 or equivalent                      | Recommended            | Helps estimate orientation and movement                 |
| Sensors    | Motor encoders                             |            4 | Built into motors if possible                      | Recommended            | Improves navigation accuracy                            |
